foreign,siswati_version
video,ividiyo
science,isayensi
link,ilinki
ameni,ameni
hallelujah,haleluya
jesus,jesu
Christ,khristu
holiday,holidi
station,esiteshini
stage,siteji
baba,babe
nurse,nesi
politics,politiki
scheme,sikimu
messiah,mesiya
stokvel,sitokufela
prophet,umbholofidi
,libhuluko
tafel,litafula
doek,liduku
ball,ibhola
plate,lipuleti
,infaduku
,lihembe
shirt,lishethi
wash,washa
pack,pakisha
change,shintja
lorry,iloli
engine,injini
suit,isudu
office,lihhovisi
tomb,lithuna
watch,liwashi
comb,likamo
,lipitikoti
towel,sithawula
gate,ligede
dish,indishi
soldier,lisotja
school,sikolwa
university,umvasi
oil,oyili
